run,15,ga,8000,4,54602.62723
run,15,ga,32000,0,54593.79191
run,15,ga,32000,1,54574.01783
run,15,ga,32000,2,54581.67641
run,15,ga,32000,3,54603.84798
run,15,ga,32000,4,54614.91436
feas,15,random,9,342
feas,15,climb,9,342
feas,15,anneal,9,342
feas,15,ga,9,342
